"year","prov","sector","scenario","emissions"
2005,"AB","Electricity","2024 Additional Measures Scenario",0
2005,"AB","Electricity","2024 Reference Case",0
2005,"AB","Electricity","NIR 2024",47.6
2005,"BC","Electricity","2024 Additional Measures Scenario",0
2005,"BC","Electricity","2024 Reference Case",0
2005,"BC","Electricity","NIR 2024",1
2005,"Canada","Electricity","2024 Additional Measures Scenario",0
2005,"Canada","Electricity","2024 Reference Case",0
2005,"Canada","Electricity","Fast GDP and Population Growth",0
2005,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2005,"Canada","Electricity","High Adoption Technology Scenario",0
2005,"Canada","Electricity","High Oil and Gas Prices",0
2005,"Canada","Electricity","Low Adoption Technology Scenario",0
2005,"Canada","Electricity","Low Oil and Gas Prices",0
2005,"Canada","Electricity","NIR 2024",116.6
2005,"Canada","Electricity","Slow GDP and Population Growth",0
2005,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2005,"MB","Electricity","2024 Additional Measures Scenario",0
2005,"MB","Electricity","2024 Reference Case",0
2005,"MB","Electricity","NIR 2024",0.4
2005,"ATL","Electricity","2024 Additional Measures Scenario",0
2005,"ATL","Electricity","2024 Reference Case",0
2005,"ATL","Electricity","NIR 2024",19.5
2005,"ON","Electricity","2024 Additional Measures Scenario",0
2005,"ON","Electricity","2024 Reference Case",0
2005,"ON","Electricity","NIR 2024",32.8
2005,"QC","Electricity","2024 Additional Measures Scenario",0
2005,"QC","Electricity","2024 Reference Case",0
2005,"QC","Electricity","NIR 2024",0.6
2005,"SK","Electricity","2024 Additional Measures Scenario",0
2005,"SK","Electricity","2024 Reference Case",0
2005,"SK","Electricity","NIR 2024",14.3
2006,"AB","Electricity","2024 Additional Measures Scenario",0
2006,"AB","Electricity","2024 Reference Case",0
2006,"AB","Electricity","NIR 2024",47.8
2006,"BC","Electricity","2024 Additional Measures Scenario",0
2006,"BC","Electricity","2024 Reference Case",0
2006,"BC","Electricity","NIR 2024",1.1
2006,"Canada","Electricity","2024 Additional Measures Scenario",0
2006,"Canada","Electricity","2024 Reference Case",0
2006,"Canada","Electricity","Fast GDP and Population Growth",0
2006,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2006,"Canada","Electricity","High Adoption Technology Scenario",0
2006,"Canada","Electricity","High Oil and Gas Prices",0
2006,"Canada","Electricity","Low Adoption Technology Scenario",0
2006,"Canada","Electricity","Low Oil and Gas Prices",0
2006,"Canada","Electricity","NIR 2024",111.9
2006,"Canada","Electricity","Slow GDP and Population Growth",0
2006,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2006,"MB","Electricity","2024 Additional Measures Scenario",0
2006,"MB","Electricity","2024 Reference Case",0
2006,"MB","Electricity","NIR 2024",0.4
2006,"ATL","Electricity","2024 Additional Measures Scenario",0
2006,"ATL","Electricity","2024 Reference Case",0
2006,"ATL","Electricity","NIR 2024",18
2006,"ON","Electricity","2024 Additional Measures Scenario",0
2006,"ON","Electricity","2024 Reference Case",0
2006,"ON","Electricity","NIR 2024",29.4
2006,"QC","Electricity","2024 Additional Measures Scenario",0
2006,"QC","Electricity","2024 Reference Case",0
2006,"QC","Electricity","NIR 2024",0.9
2006,"SK","Electricity","2024 Additional Measures Scenario",0
2006,"SK","Electricity","2024 Reference Case",0
2006,"SK","Electricity","NIR 2024",13.9
2007,"AB","Electricity","2024 Additional Measures Scenario",0
2007,"AB","Electricity","2024 Reference Case",0
2007,"AB","Electricity","NIR 2024",48.5
2007,"BC","Electricity","2024 Additional Measures Scenario",0
2007,"BC","Electricity","2024 Reference Case",0
2007,"BC","Electricity","NIR 2024",0.9
2007,"Canada","Electricity","2024 Additional Measures Scenario",0
2007,"Canada","Electricity","2024 Reference Case",0
2007,"Canada","Electricity","Fast GDP and Population Growth",0
2007,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2007,"Canada","Electricity","High Adoption Technology Scenario",0
2007,"Canada","Electricity","High Oil and Gas Prices",0
2007,"Canada","Electricity","Low Adoption Technology Scenario",0
2007,"Canada","Electricity","Low Oil and Gas Prices",0
2007,"Canada","Electricity","NIR 2024",118.5
2007,"Canada","Electricity","Slow GDP and Population Growth",0
2007,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2007,"MB","Electricity","2024 Additional Measures Scenario",0
2007,"MB","Electricity","2024 Reference Case",0
2007,"MB","Electricity","NIR 2024",0.5
2007,"ATL","Electricity","2024 Additional Measures Scenario",0
2007,"ATL","Electricity","2024 Reference Case",0
2007,"ATL","Electricity","NIR 2024",19.8
2007,"ON","Electricity","2024 Additional Measures Scenario",0
2007,"ON","Electricity","2024 Reference Case",0
2007,"ON","Electricity","NIR 2024",32.5
2007,"QC","Electricity","2024 Additional Measures Scenario",0
2007,"QC","Electricity","2024 Reference Case",0
2007,"QC","Electricity","NIR 2024",1.6
2007,"SK","Electricity","2024 Additional Measures Scenario",0
2007,"SK","Electricity","2024 Reference Case",0
2007,"SK","Electricity","NIR 2024",14.4
2008,"AB","Electricity","2024 Additional Measures Scenario",0
2008,"AB","Electricity","2024 Reference Case",0
2008,"AB","Electricity","NIR 2024",48.3
2008,"BC","Electricity","2024 Additional Measures Scenario",0
2008,"BC","Electricity","2024 Reference Case",0
2008,"BC","Electricity","NIR 2024",1.2
2008,"Canada","Electricity","2024 Additional Measures Scenario",0
2008,"Canada","Electricity","2024 Reference Case",0
2008,"Canada","Electricity","Fast GDP and Population Growth",0
2008,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2008,"Canada","Electricity","High Adoption Technology Scenario",0
2008,"Canada","Electricity","High Oil and Gas Prices",0
2008,"Canada","Electricity","Low Adoption Technology Scenario",0
2008,"Canada","Electricity","Low Oil and Gas Prices",0
2008,"Canada","Electricity","NIR 2024",108.7
2008,"Canada","Electricity","Slow GDP and Population Growth",0
2008,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2008,"MB","Electricity","2024 Additional Measures Scenario",0
2008,"MB","Electricity","2024 Reference Case",0
2008,"MB","Electricity","NIR 2024",0.4
2008,"ATL","Electricity","2024 Additional Measures Scenario",0
2008,"ATL","Electricity","2024 Reference Case",0
2008,"ATL","Electricity","NIR 2024",17.1
2008,"ON","Electricity","2024 Additional Measures Scenario",0
2008,"ON","Electricity","2024 Reference Case",0
2008,"ON","Electricity","NIR 2024",26.8
2008,"QC","Electricity","2024 Additional Measures Scenario",0
2008,"QC","Electricity","2024 Reference Case",0
2008,"QC","Electricity","NIR 2024",0.5
2008,"SK","Electricity","2024 Additional Measures Scenario",0
2008,"SK","Electricity","2024 Reference Case",0
2008,"SK","Electricity","NIR 2024",14.1
2009,"AB","Electricity","2024 Additional Measures Scenario",0
2009,"AB","Electricity","2024 Reference Case",0
2009,"AB","Electricity","NIR 2024",45.3
2009,"BC","Electricity","2024 Additional Measures Scenario",0
2009,"BC","Electricity","2024 Reference Case",0
2009,"BC","Electricity","NIR 2024",1.1
2009,"Canada","Electricity","2024 Additional Measures Scenario",0
2009,"Canada","Electricity","2024 Reference Case",0
2009,"Canada","Electricity","Fast GDP and Population Growth",0
2009,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2009,"Canada","Electricity","High Adoption Technology Scenario",0
2009,"Canada","Electricity","High Oil and Gas Prices",0
2009,"Canada","Electricity","Low Adoption Technology Scenario",0
2009,"Canada","Electricity","Low Oil and Gas Prices",0
2009,"Canada","Electricity","NIR 2024",93.7
2009,"Canada","Electricity","Slow GDP and Population Growth",0
2009,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2009,"MB","Electricity","2024 Additional Measures Scenario",0
2009,"MB","Electricity","2024 Reference Case",0
2009,"MB","Electricity","NIR 2024",0.2
2009,"ATL","Electricity","2024 Additional Measures Scenario",0
2009,"ATL","Electricity","2024 Reference Case",0
2009,"ATL","Electricity","NIR 2024",16.8
2009,"ON","Electricity","2024 Additional Measures Scenario",0
2009,"ON","Electricity","2024 Reference Case",0
2009,"ON","Electricity","NIR 2024",14.3
2009,"QC","Electricity","2024 Additional Measures Scenario",0
2009,"QC","Electricity","2024 Reference Case",0
2009,"QC","Electricity","NIR 2024",0.7
2009,"SK","Electricity","2024 Additional Measures Scenario",0
2009,"SK","Electricity","2024 Reference Case",0
2009,"SK","Electricity","NIR 2024",15
2010,"AB","Electricity","2024 Additional Measures Scenario",0
2010,"AB","Electricity","2024 Reference Case",0
2010,"AB","Electricity","NIR 2024",44.7
2010,"BC","Electricity","2024 Additional Measures Scenario",0
2010,"BC","Electricity","2024 Reference Case",0
2010,"BC","Electricity","NIR 2024",1
2010,"Canada","Electricity","2024 Additional Measures Scenario",0
2010,"Canada","Electricity","2024 Reference Case",0
2010,"Canada","Electricity","Fast GDP and Population Growth",0
2010,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2010,"Canada","Electricity","High Adoption Technology Scenario",0
2010,"Canada","Electricity","High Oil and Gas Prices",0
2010,"Canada","Electricity","Low Adoption Technology Scenario",0
2010,"Canada","Electricity","Low Oil and Gas Prices",0
2010,"Canada","Electricity","NIR 2024",94.5
2010,"Canada","Electricity","Slow GDP and Population Growth",0
2010,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2010,"MB","Electricity","2024 Additional Measures Scenario",0
2010,"MB","Electricity","2024 Reference Case",0
2010,"MB","Electricity","NIR 2024",0.1
2010,"ATL","Electricity","2024 Additional Measures Scenario",0
2010,"ATL","Electricity","2024 Reference Case",0
2010,"ATL","Electricity","NIR 2024",14.1
2010,"ON","Electricity","2024 Additional Measures Scenario",0
2010,"ON","Electricity","2024 Reference Case",0
2010,"ON","Electricity","NIR 2024",18.9
2010,"QC","Electricity","2024 Additional Measures Scenario",0
2010,"QC","Electricity","2024 Reference Case",0
2010,"QC","Electricity","NIR 2024",0.5
2010,"SK","Electricity","2024 Additional Measures Scenario",0
2010,"SK","Electricity","2024 Reference Case",0
2010,"SK","Electricity","NIR 2024",15
2011,"AB","Electricity","2024 Additional Measures Scenario",0
2011,"AB","Electricity","2024 Reference Case",0
2011,"AB","Electricity","NIR 2024",44.8
2011,"BC","Electricity","2024 Additional Measures Scenario",0
2011,"BC","Electricity","2024 Reference Case",0
2011,"BC","Electricity","NIR 2024",0.3
2011,"Canada","Electricity","2024 Additional Measures Scenario",0
2011,"Canada","Electricity","2024 Reference Case",0
2011,"Canada","Electricity","Fast GDP and Population Growth",0
2011,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2011,"Canada","Electricity","High Adoption Technology Scenario",0
2011,"Canada","Electricity","High Oil and Gas Prices",0
2011,"Canada","Electricity","Low Adoption Technology Scenario",0
2011,"Canada","Electricity","Low Oil and Gas Prices",0
2011,"Canada","Electricity","NIR 2024",85.7
2011,"Canada","Electricity","Slow GDP and Population Growth",0
2011,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2011,"MB","Electricity","2024 Additional Measures Scenario",0
2011,"MB","Electricity","2024 Reference Case",0
2011,"MB","Electricity","NIR 2024",0.1
2011,"ATL","Electricity","2024 Additional Measures Scenario",0
2011,"ATL","Electricity","2024 Reference Case",0
2011,"ATL","Electricity","NIR 2024",13.5
2011,"ON","Electricity","2024 Additional Measures Scenario",0
2011,"ON","Electricity","2024 Reference Case",0
2011,"ON","Electricity","NIR 2024",12.2
2011,"QC","Electricity","2024 Additional Measures Scenario",0
2011,"QC","Electricity","2024 Reference Case",0
2011,"QC","Electricity","NIR 2024",0.4
2011,"SK","Electricity","2024 Additional Measures Scenario",0
2011,"SK","Electricity","2024 Reference Case",0
2011,"SK","Electricity","NIR 2024",14.2
2012,"AB","Electricity","2024 Additional Measures Scenario",0
2012,"AB","Electricity","2024 Reference Case",0
2012,"AB","Electricity","NIR 2024",42.5
2012,"BC","Electricity","2024 Additional Measures Scenario",0
2012,"BC","Electricity","2024 Reference Case",0
2012,"BC","Electricity","NIR 2024",0.3
2012,"Canada","Electricity","2024 Additional Measures Scenario",0
2012,"Canada","Electricity","2024 Reference Case",0
2012,"Canada","Electricity","Fast GDP and Population Growth",0
2012,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2012,"Canada","Electricity","High Adoption Technology Scenario",0
2012,"Canada","Electricity","High Oil and Gas Prices",0
2012,"Canada","Electricity","Low Adoption Technology Scenario",0
2012,"Canada","Electricity","Low Oil and Gas Prices",0
2012,"Canada","Electricity","NIR 2024",82.3
2012,"Canada","Electricity","Slow GDP and Population Growth",0
2012,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2012,"MB","Electricity","2024 Additional Measures Scenario",0
2012,"MB","Electricity","2024 Reference Case",0
2012,"MB","Electricity","NIR 2024",0.1
2012,"ATL","Electricity","2024 Additional Measures Scenario",0
2012,"ATL","Electricity","2024 Reference Case",0
2012,"ATL","Electricity","NIR 2024",11.9
2012,"ON","Electricity","2024 Additional Measures Scenario",0
2012,"ON","Electricity","2024 Reference Case",0
2012,"ON","Electricity","NIR 2024",12.1
2012,"QC","Electricity","2024 Additional Measures Scenario",0
2012,"QC","Electricity","2024 Reference Case",0
2012,"QC","Electricity","NIR 2024",0.5
2012,"SK","Electricity","2024 Additional Measures Scenario",0
2012,"SK","Electricity","2024 Reference Case",0
2012,"SK","Electricity","NIR 2024",14.7
2013,"AB","Electricity","2024 Additional Measures Scenario",0
2013,"AB","Electricity","2024 Reference Case",0
2013,"AB","Electricity","NIR 2024",43.8
2013,"BC","Electricity","2024 Additional Measures Scenario",0
2013,"BC","Electricity","2024 Reference Case",0
2013,"BC","Electricity","NIR 2024",0.4
2013,"Canada","Electricity","2024 Additional Measures Scenario",0
2013,"Canada","Electricity","2024 Reference Case",0
2013,"Canada","Electricity","Fast GDP and Population Growth",0
2013,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2013,"Canada","Electricity","High Adoption Technology Scenario",0
2013,"Canada","Electricity","High Oil and Gas Prices",0
2013,"Canada","Electricity","Low Adoption Technology Scenario",0
2013,"Canada","Electricity","Low Oil and Gas Prices",0
2013,"Canada","Electricity","NIR 2024",79.6
2013,"Canada","Electricity","Slow GDP and Population Growth",0
2013,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2013,"MB","Electricity","2024 Additional Measures Scenario",0
2013,"MB","Electricity","2024 Reference Case",0
2013,"MB","Electricity","NIR 2024",0.1
2013,"ATL","Electricity","2024 Additional Measures Scenario",0
2013,"ATL","Electricity","2024 Reference Case",0
2013,"ATL","Electricity","NIR 2024",11.9
2013,"ON","Electricity","2024 Additional Measures Scenario",0
2013,"ON","Electricity","2024 Reference Case",0
2013,"ON","Electricity","NIR 2024",9.2
2013,"QC","Electricity","2024 Additional Measures Scenario",0
2013,"QC","Electricity","2024 Reference Case",0
2013,"QC","Electricity","NIR 2024",0.4
2013,"SK","Electricity","2024 Additional Measures Scenario",0
2013,"SK","Electricity","2024 Reference Case",0
2013,"SK","Electricity","NIR 2024",13.6
2014,"AB","Electricity","2024 Additional Measures Scenario",0
2014,"AB","Electricity","2024 Reference Case",0
2014,"AB","Electricity","NIR 2024",42.8
2014,"BC","Electricity","2024 Additional Measures Scenario",0
2014,"BC","Electricity","2024 Reference Case",0
2014,"BC","Electricity","NIR 2024",0.3
2014,"Canada","Electricity","2024 Additional Measures Scenario",0
2014,"Canada","Electricity","2024 Reference Case",0
2014,"Canada","Electricity","Fast GDP and Population Growth",0
2014,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2014,"Canada","Electricity","High Adoption Technology Scenario",0
2014,"Canada","Electricity","High Oil and Gas Prices",0
2014,"Canada","Electricity","Low Adoption Technology Scenario",0
2014,"Canada","Electricity","Low Oil and Gas Prices",0
2014,"Canada","Electricity","NIR 2024",75.1
2014,"Canada","Electricity","Slow GDP and Population Growth",0
2014,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2014,"MB","Electricity","2024 Additional Measures Scenario",0
2014,"MB","Electricity","2024 Reference Case",0
2014,"MB","Electricity","NIR 2024",0.1
2014,"ATL","Electricity","2024 Additional Measures Scenario",0
2014,"ATL","Electricity","2024 Reference Case",0
2014,"ATL","Electricity","NIR 2024",12.1
2014,"ON","Electricity","2024 Additional Measures Scenario",0
2014,"ON","Electricity","2024 Reference Case",0
2014,"ON","Electricity","NIR 2024",5.4
2014,"QC","Electricity","2024 Additional Measures Scenario",0
2014,"QC","Electricity","2024 Reference Case",0
2014,"QC","Electricity","NIR 2024",0.3
2014,"SK","Electricity","2024 Additional Measures Scenario",0
2014,"SK","Electricity","2024 Reference Case",0
2014,"SK","Electricity","NIR 2024",13.8
2015,"AB","Electricity","2024 Additional Measures Scenario",0
2015,"AB","Electricity","2024 Reference Case",0
2015,"AB","Electricity","NIR 2024",41.3
2015,"BC","Electricity","2024 Additional Measures Scenario",0
2015,"BC","Electricity","2024 Reference Case",0
2015,"BC","Electricity","NIR 2024",0.3
2015,"Canada","Electricity","2024 Additional Measures Scenario",0
2015,"Canada","Electricity","2024 Reference Case",0
2015,"Canada","Electricity","Fast GDP and Population Growth",0
2015,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2015,"Canada","Electricity","High Adoption Technology Scenario",0
2015,"Canada","Electricity","High Oil and Gas Prices",0
2015,"Canada","Electricity","Low Adoption Technology Scenario",0
2015,"Canada","Electricity","Low Oil and Gas Prices",0
2015,"Canada","Electricity","NIR 2024",74.7
2015,"Canada","Electricity","Slow GDP and Population Growth",0
2015,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2015,"MB","Electricity","2024 Additional Measures Scenario",0
2015,"MB","Electricity","2024 Reference Case",0
2015,"MB","Electricity","NIR 2024",0.1
2015,"ATL","Electricity","2024 Additional Measures Scenario",0
2015,"ATL","Electricity","2024 Reference Case",0
2015,"ATL","Electricity","NIR 2024",12.1
2015,"ON","Electricity","2024 Additional Measures Scenario",0
2015,"ON","Electricity","2024 Reference Case",0
2015,"ON","Electricity","NIR 2024",5.5
2015,"QC","Electricity","2024 Additional Measures Scenario",0
2015,"QC","Electricity","2024 Reference Case",0
2015,"QC","Electricity","NIR 2024",0.3
2015,"SK","Electricity","2024 Additional Measures Scenario",0
2015,"SK","Electricity","2024 Reference Case",0
2015,"SK","Electricity","NIR 2024",14.8
2016,"AB","Electricity","2024 Additional Measures Scenario",0
2016,"AB","Electricity","2024 Reference Case",0
2016,"AB","Electricity","NIR 2024",42.4
2016,"BC","Electricity","2024 Additional Measures Scenario",0
2016,"BC","Electricity","2024 Reference Case",0
2016,"BC","Electricity","NIR 2024",0.2
2016,"Canada","Electricity","2024 Additional Measures Scenario",0
2016,"Canada","Electricity","2024 Reference Case",0
2016,"Canada","Electricity","Fast GDP and Population Growth",0
2016,"Canada","Electricity","Fast GDP and Population Growth, and High Oil and Gas Prices",0
2016,"Canada","Electricity","High Adoption Technology Scenario",0
2016,"Canada","Electricity","High Oil and Gas Prices",0
2016,"Canada","Electricity","Low Adoption Technology Scenario",0
2016,"Canada","Electricity","Low Oil and Gas Prices",0
2016,"Canada","Electricity","NIR 2024",75
2016,"Canada","Electricity","Slow GDP and Population Growth",0
2016,"Canada","Electricity","Slow GDP and Population Growth, and Low Oil and Gas Prices",0
2016,"MB","Electricity","2024 Additional Measures Scenario",0
2016,"MB","Electricity","2024 Reference Case",0
2016,"MB","Electricity","NIR 2024",0.1
2016,"ATL","Electricity","2024 Additional Measures Scenario",0
2016,"ATL","Electricity","2024 Reference Case",0
2016,"ATL","Electricity","NIR 2024",12.2
2016,"ON","Electricity","2024 Additional Measures Scenario",0
2016,"ON","Electricity","2024 Reference Case",0
2016,"ON","Electricity","NIR 2024",4.9
2016,"QC","Electricity","2024 Additional Measures Scenario",0
2016,"QC","Electricity","2024 Reference Case",0
2016,"QC","Electricity","NIR 2024",0.3
2016,"SK","Electricity","2024 Additional Measures Scenario",0
2016,"SK","Electricity","2024 Reference Case",0
2016,"SK","Electricity","NIR 2024",14.7
2017,"AB","Electricity","2024 Additional Measures Scenario",0
2017,"AB","Electricity","2024 Reference Case",0
